"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.blogger.com","30,439,465","100"
"2","www.google.com","14,640,406","100"
"3","youtube.com","22,930,334","100"
"4","microsoft.com","5,287,505","99"
"5","support.google.com","5,540,198","99"
"6","play.google.com","3,875,017","99"
"7","apple.com","6,565,877","99"
"8","linkedin.com","12,196,454","99"
"9","wordpress.org","12,121,758","98"
"10","maps.google.com","5,929,459","98"
"11","docs.google.com","3,380,471","98"
"12","youtu.be","5,218,195","98"
"13","mozilla.org","2,451,112","98"
"14","cloudflare.com","6,791,327","98"
"15","en.wikipedia.org","7,016,291","98"
"16","accounts.google.com","2,537,497","97"
"17","googleusercontent.com","3,531,550","97"
"18","sites.google.com","2,259,288","97"
"19","bp.blogspot.com","18,024,772","97"
"20","whatsapp.com","3,933,654","97"
"21","drive.google.com","2,480,076","97"
"22","plus.google.com","10,988,184","97"
"23","adobe.com","2,862,228","97"
"24","europa.eu","2,280,775","97"
"25","amazon.com","5,005,805","96"
"26","vk.com","1,803,601","96"
"27","uol.com.br","688,299","96"
"28","istockphoto.com","3,653,753","96"
"29","vimeo.com","3,561,958","96"
"30","facebook.com","59,078,506","96"
"31","policies.google.com","2,925,175","96"
"32","t.me","1,338,592","96"
"33","github.com","2,914,028","96"
"34","www.yahoo.com","1,349,698","95"
"35","w3.org","1,131,598","95"
"36","search.google.com","1,558,176","95"
"37","enable-javascript.com","9,408,505","95"
"38","imdb.com","1,530,977","95"
"39","jimdofree.com","1,713,985","95"
"40","who.int","2,026,114","95"
"41","developers.google.com","1,121,977","95"
"42","netvibes.com","1,227,080","95"
"43","draft.blogger.com","11,345,400","95"
"44","buydomains.com","1,188,333","95"
"45","tools.google.com","1,771,111","95"
"46","medium.com","1,778,084","95"
"47","paypal.com","1,150,200","95"
"48","globo.com","458,371","95"
"49","google.co.jp","656,719","95"
"50","es.wikipedia.org","971,215","95"
"51","msn.com","1,102,392","95"
"52","live.com","989,128","95"
"53","theguardian.com","1,591,404","95"
"54","opera.com","974,587","95"
"55","google.de","1,111,233","95"
"56","google.com.br","298,059","95"
"57","dropbox.com","1,105,584","95"
"58","files.wordpress.com","7,663,409","95"
"59","line.me","951,800","95"
"60","gravatar.com","12,483,548","95"
"61","wikimedia.org","2,075,265","95"
"62","creativecommons.org","1,741,797","95"
"63","brandbucket.com","11,147,890","95"
"64","www.weebly.com","5,524,677","95"
"65","pt.wikipedia.org","420,946","95"
"66","news.google.com","834,529","95"
"67","fr.wikipedia.org","642,934","95"
"68","forbes.com","1,444,360","95"
"69","ok.ru","367,661","95"
"70","dailymotion.com","1,133,584","95"
"71","google.es","479,315","95"
"72","nytimes.com","2,197,637","95"
"73","gstatic.com","631,201","95"
"74","bbc.co.uk","1,742,572","95"
"75","shopify.com","2,769,491","95"
"76","slideshare.net","1,005,525","95"
"77","feedburner.com","1,828,301","95"
"78","nih.gov","1,489,365","95"
"79","cnn.com","1,656,442","95"
"80","telegram.me","397,293","94"
"81","bbc.com","916,532","94"
"82","storage.googleapis.com","978,446","94"
"83","scribd.com","773,275","94"
"84","usatoday.com","885,391","94"
"85","dan.com","3,484,257","94"
"86","samsung.com","410,226","94"
"87","issuu.com","1,007,645","94"
"88","ig.com.br","158,055","94"
"89","wsj.com","994,997","94"
"90","businessinsider.com","872,308","94"
"91","tiktok.com","875,301","94"
"92","de.wikipedia.org","679,328","94"
"93","amazon.co.jp","872,732","94"
"94","4shared.com","561,866","94"
"95","estadao.com.br","136,166","94"
"96","amazon.co.uk","797,039","94"
"97","foxnews.com","598,062","94"
"98","tinyurl.com","1,453,095","94"
"99","hugedomains.com","16,597,955","94"
"100","forms.gle","815,223","94"
"101","aliexpress.com","525,360","94"
"102","photos.google.com","277,921","94"
"103","afternic.com","3,164,766","94"
"104","google.pl","197,144","94"
"105","soundcloud.com","1,850,743","94"
"106","amazon.de","562,602","94"
"107","namecheap.com","1,131,157","94"
"108","independent.co.uk","781,259","94"
"109","bloomberg.com","876,663","94"
"110","wa.me","1,479,539","94"
"111","indiatimes.com","495,742","94"
"112","huffingtonpost.com","1,080,662","94"
"113","nature.com","639,282","94"
"114","webmd.com","838,830","94"
"115","huffpost.com","1,216,726","94"
"116","plesk.com","701,050","94"
"117","youronlinechoices.com","580,009","94"
"118","get.google.com","639,451","94"
"119","goo.gl","4,826,088","94"
"120","ru.wikipedia.org","379,448","94"
"121","planalto.gov.br","121,747","94"
"122","google.co.uk","602,843","94"
"123","thesun.co.uk","430,390","94"
"124","www.gov.uk","644,904","94"
"125","mail.ru","484,450","94"
"126","mirror.co.uk","426,311","94"
"127","marketingplatform.google....","890,732","94"
"128","mediafire.com","867,945","94"
"129","myaccount.google.com","363,332","94"
"130","washingtonpost.com","1,184,273","94"
"131","wp.com","2,175,849","94"
"132","google.fr","415,023","94"
"133","office.com","665,965","94"
"134","amazon.es","195,404","94"
"135","domainmarket.com","1,044,383","94"
"136","myspace.com","1,374,721","94"
"137","ft.com","514,998","94"
"138","ytimg.com","995,636","94"
"139","abc.es","208,834","94"
"140","archive.org","1,221,141","94"
"141","yadi.sk","155,902","94"
"142","shutterstock.com","545,386","94"
"143","dailymail.co.uk","1,136,430","94"
"144","elpais.com","433,324","94"
"145","bing.com","1,031,670","94"
"146","cnet.com","754,998","94"
"147","hatena.ne.jp","1,553,748","94"
"148","instagram.com","28,014,360","94"
"149","researchgate.net","742,958","94"
"150","google.it","441,595","94"
"151","fandom.com","641,411","94"
"152","cdc.gov","917,653","94"
"153","reuters.com","952,684","94"
"154","list-manage.com","791,851","94"
"155","un.org","621,229","94"
"156","booking.com","415,891","94"
"157","cpanel.net","1,855,901","94"
"158","wikia.com","507,973","94"
"159","news.yahoo.com","698,628","94"
"160","bit.ly","5,023,009","94"
"161","picasaweb.google.com","630,418","94"
"162","abril.com.br","275,169","94"
"163","twitter.com","59,856,297","94"
"164","nasa.gov","692,733","94"
"165","aboutads.info","653,540","94"
"166","t.co","2,195,368","94"
"167","networkadvertising.org","760,835","94"
"168","time.com","845,709","94"
"169","telegraph.co.uk","1,010,614","94"
"170","cbsnews.com","698,209","94"
"171","imageshack.us","816,005","94"
"172","pinterest.com","8,701,314","94"
"173","terra.com.br","200,163","94"
"174","pixabay.com","488,481","94"
"175","change.org","506,374","94"
"176","fb.com","470,848","94"
"177","mail.google.com","496,011","94"
"178","ria.ru","198,507","93"
"179","vkontakte.ru","353,076","93"
"180","guardian.co.uk","607,031","93"
"181","statista.com","384,414","93"
"182","espn.com","404,490","93"
"183","www.livejournal.com","3,026,727","93"
"184","alicdn.com","551,527","93"
"185","google.ca","344,308","93"
"186","nginx.org","873,998","93"
"187","francetvinfo.fr","179,082","93"
"188","20minutos.es","179,580","93"
"189","lexpress.fr","121,510","93"
"190","www.over-blog.com","813,511","93"
"191","gnu.org","589,716","93"
"192","lemonde.fr","277,755","93"
"193","naver.com","532,580","93"
"194","liveinternet.ru","349,589","93"
"195","clarin.com","148,202","93"
"196","translate.google.com","298,147","93"
"197","pinterest.fr","129,604","93"
"198","elmundo.es","243,834","93"
"199","finance.yahoo.com","502,953","93"
"200","www.wix.com","745,500","93"
"201","yandex.com","1,544,143","93"
